951,901
961,875
971,847
980,814
990,760
1002,695
1007,647
1016,608
1017,578
1024,545
1027,522
1034,510
1062,510
1088,513
1112,517
1103,473
1100,436
1100,410
1088,378
1081,352
1080,328
1084,298
1086,285
1086,262
1103,245
1125,229
1137,243
1159,266
1184,295
1213,332
1240,344
1276,348
1309,357
1335,367
1351,378
1336,400
1313,410
1281,424
1301,450
1322,481
1346,517
1360,540
1354,563
1333,606
1314,648
1291,698
1277,739
1256,785
1249,811
1231,844
1214,874
1167,870
1131,867
1094,890
1071,898
1047,898
1013,906
989,916
963,912
949,904
