824,408
818,434
813,461
810,494
806,520
801,551
796,584
792,607
787,631
783,646
777,670
769,695
763,710
760,726
773,730
786,732
797,730
808,726
822,722
842,717
860,715
876,710
894,699
908,691
929,695
946,695
972,698
987,670
998,648
1010,618
1017,597
1030,567
1043,537
1054,506
1069,476
1081,450
1087,437
1088,434
1084,426
1074,411
1058,387
1042,366
1033,351
1024,341
1039,334
1054,325
1067,316
1071,314
1077,307
1080,300
1056,288
1027,280
998,274
970,267
950,241
928,212
908,192
899,181
884,192
874,201
869,212
867,232
864,254
864,276
869,299
874,314
880,328
880,348
881,366
882,384
884,404
889,416
867,409
852,410
840,409
